baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSMUSG00000026249.10	14421.8232611962	1.90637357529867	0.107544698748758	17.7263370252425	2.6259532364559e-70	3.31238381722946e-68
ENSMUSG00000030091.17	509.795822157177	-8.11867370888746	0.458114619805345	-17.7219266923573	2.84016049235624e-70	3.56087273365901e-68
ENSMUSG00000002228.7	239.427164748976	-3.85878161924243	0.218324992796375	-17.6744841248725	6.59408253625337e-70	8.21757743538997e-68
ENSMUSG00000025357.8	848.94281153024	-2.07371311130481	0.117671963868188	-17.6228308182882	1.64560375807147e-69	2.03847933791763e-67
ENSMUSG00000044641.7	280.87841450366	-3.02680493176949	0.171857215616615	-17.6123238172425	1.98140830480275e-69	2.43984485722944e-67
ENSMUSG00000044393.15	315.970620374672	-6.97244575096274	0.398035545335002	-17.5171434628896	1.06016505637945e-68	1.29772985333265e-66
ENSMUSG00000018411.17	222.618517036054	-5.18102198082793	0.296361025520012	-17.4821300194147	1.9603736701375e-68	2.38554412436085e-66
ENSMUSG00000024222.17	762.807680029817	-2.10862380070799	0.1208177494045	-17.4529306422377	3.27015362937795e-68	3.95612094332992e-66
ENSMUSG00000023039.17	500.664450214585	-3.38304975690252	0.193846892763564	-17.4521742839016	3.31374976194643e-68	3.98555472822011e-66
ENSMUSG00000036553.16	213.613324080703	-3.46328338981895	0.198513360785688	-17.4460972103427	3.6857208019377e-68	4.40731249882573e-66
ENSMUSG00000028392.15	269.26394074901	-6.47836106735435	0.371427556268222	-17.4417890057572	3.97435934295932e-68	4.72514780044824e-66
ENSMUSG00000038028.9	837.476185759905	-2.38064699862045	0.136597621189135	-17.4281731841009	5.04315082047413e-68	5.96158062989419e-66
ENSMUSG00000041649.13	472.853274555492	-3.30467831587228	0.189637659662565	-17.4262766253945	5.21318465341574e-68	6.12756539347792e-66
ENSMUSG00000037465.10	1633.62017198019	-1.81781897936518	0.104438363304759	-17.4056632241607	7.47354324087321e-68	8.73475644203074e-66
ENSMUSG00000078670.3	299.484820258915	-2.77805523587453	0.159633178757531	-17.4027433237683	7.86446440810256e-68	9.14000984328189e-66
ENSMUSG00000050296.14	288.471396328104	-6.65673959423402	0.382712092532379	-17.3935961892054	9.22595004825466e-68	1.06624150082818e-65
ENSMUSG00000054423.14	202.529523881086	-4.24763325825037	0.245491614284071	-17.3025594810551	4.49947325068141e-67	5.17114461871368e-65
ENSMUSG00000092035.8	1371.61924931414	-1.63336604487722	0.0944714118434507	-17.2895272019845	5.64130671758102e-67	6.44760840146954e-65
ENSMUSG00000022596.3	1256.09232823558	-2.36848635323174	0.137523138795002	-17.2224570642058	1.80174115088764e-66	2.04794610925344e-64
ENSMUSG00000032420.8	1357.39212732792	-2.44589433741937	0.14204092740939	-17.2196449433889	1.8914493590732e-66	2.1381646388605e-64
ENSMUSG00000049044.16	223.954814734128	-5.50582697553549	0.319770817157436	-17.2180407970898	1.9446022920491e-66	2.18630367476194e-64
ENSMUSG00000041605.16	270.766288034528	-2.97677206470258	0.173680154163504	-17.1393909628858	7.54366740931888e-66	8.43545122684214e-64
ENSMUSG00000052397.8	2218.2356718365	-1.91183386138209	0.111550013599279	-17.1388043774693	7.62014957033053e-66	8.47516312695848e-64
